                                       	Median1	Median2	p-val
g.Parasporobacterium                   	0.0e+00	2.3e-03	2.4e-05
g.Smithella                            	2.7e-03	0.0e+00	4.0e-05
g.Epilithonimonas                      	0.0e+00	6.9e-03	4.6e-05
g.Longilinea                           	0.0e+00	8.1e-03	4.6e-05
g.Bulleidia                            	4.1e-06	2.0e-03	5.6e-05
g.Salinibacter                         	3.6e-06	3.0e-03	5.6e-05
g.Chlorarachniophyceae                 	7.9e-06	2.0e-02	5.9e-05
g.Aquimarina                           	2.1e-05	1.2e-02	6.1e-05
g.Geothrix                             	6.4e-05	1.7e-02	6.2e-05
g.Gp6                                  	2.2e-05	3.4e-03	6.2e-05
g.Persicobacter                        	3.3e-05	1.2e-02	6.2e-05
g.Sterolibacterium                     	1.9e-05	4.1e-03	6.2e-05
g.Acidothermus                         	1.2e-02	5.7e-04	6.2e-05
g.Cerasicoccus                         	2.4e-02	1.7e-03	6.2e-05
g.Chloroflexus                         	5.1e-03	2.8e-04	6.2e-05
g.Cytophaga                            	4.1e-04	1.8e-02	6.2e-05
g.Ferruginibacter                      	1.3e-04	2.3e-02	6.2e-05
g.Geodermatophilus                     	8.2e-02	4.9e-03	6.2e-05
g.Gp3                                  	3.0e-03	1.0e-04	6.2e-05
g.Leptolinea                           	2.5e-05	4.9e-03	6.2e-05
g.Methylomonas                         	1.2e-03	1.1e-01	6.2e-05
g.Pelagibacter                         	6.5e-02	8.3e-04	6.2e-05
g.Pelobacter                           	6.7e-05	1.7e-02	6.2e-05
g.Rhodoferax                           	1.4e-04	1.1e-02	6.2e-05
g.Rhodothermus                         	3.2e-03	7.6e-04	6.2e-05
g.Rummeliibacillus                     	1.2e-02	8.6e-04	6.2e-05
g.Thiobacillus                         	6.2e-05	1.9e-02	6.2e-05
g.Thiofaba                             	2.7e-03	1.2e-04	6.2e-05
g.Zoogloea                             	1.2e-04	5.0e-03	6.2e-05
g.Singularimonas                       	4.1e-06	7.0e-04	7.5e-05
g.GpI                                  	3.1e-02	1.2e-03	8.2e-05
g.GpIX                                 	5.8e-02	2.6e-03	8.2e-05
g.Leptothrix                           	2.1e-02	1.8e-03	8.2e-05
g.Methylobacter                        	1.1e-03	6.2e-02	8.2e-05
g.Simplicispira                        	1.5e-02	8.9e-02	8.2e-05
g.GpV                                  	1.0e-02	1.4e-03	1.1e-04
g.Desulfonema                          	2.3e-05	1.1e-02	1.4e-04
g.Acidovorax                           	1.2e-02	5.2e-03	2.5e-04
g.Metascardovia                        	9.8e-03	1.8e-03	2.5e-04
g.Zhouia                               	2.0e-03	5.7e-05	2.5e-04
g.Castellaniella                       	8.2e-04	2.7e-03	3.2e-04
g.Prolixibacter                        	4.8e-03	3.1e-02	3.2e-04
g.Rathayibacter                        	2.5e-03	2.5e-04	3.2e-04
g.Rhodopirellula                       	3.8e-03	7.0e-04	3.2e-04
g.Arcicella                            	6.2e-03	1.1e-03	4.1e-04
g.Chryseobacterium                     	2.3e-03	2.4e-04	4.1e-04
g.Pseudoalteromonas                    	4.5e-03	1.2e-04	4.1e-04
g.Vibrio                               	3.8e-03	1.2e-04	4.1e-04
g.Facklamia                            	1.0e-02	2.3e-04	5.3e-04
g.Ilumatobacter                        	3.5e-02	4.5e-03	5.3e-04
g.Fluviicola                           	1.8e-02	9.0e-04	6.8e-04
g.Streptococcus                        	1.4e-02	3.4e-04	6.8e-04
g.Uruburuella                          	3.5e-03	7.9e-05	8.5e-04
g.Amorphus                             	3.0e-03	6.9e-04	8.6e-04
g.Alkaliflexus                         	3.1e-05	2.3e-03	1.1e-03
g.Methylophilus                        	1.4e-03	4.7e-03	1.1e-03
g.Roseomonas                           	2.6e-03	5.8e-04	1.1e-03
g.Bacillariophyta                      	1.2e-02	2.3e-04	1.4e-03
g.Saxeibacter                          	5.4e-03	8.7e-04	1.4e-03
g.Ornithobacterium                     	5.4e-03	2.3e-02	1.7e-03
g.Sediminibacterium                    	2.9e-02	8.0e-03	2.2e-03
g.Chlorophyta                          	8.6e-05	0.0e+00	3.5e-03
g.Rubritalea                           	7.2e-04	2.7e-03	4.1e-03
g.Desulfobacca                         	0.0e+00	5.6e-04	4.5e-03
g.Krokinobacter                        	2.9e-03	8.7e-05	5.1e-03
g.Solitalea                            	4.0e-02	2.2e-02	6.2e-03
g.Polynucleobacter                     	1.5e-02	8.3e-03	7.6e-03
g.Zavarzinella                         	1.9e-03	9.9e-04	9.2e-03
g.Pedobacter                           	7.1e-04	2.0e-03	1.9e-02
g.Thiolamprovum                        	3.1e-03	7.2e-04	1.9e-02
g.OP10_genera_incertae_sedis           	1.2e-02	6.8e-03	2.2e-02
g.Singulisphaera                       	6.0e-04	2.3e-03	2.6e-02
g.Isosphaera                           	1.1e-02	2.1e-03	3.1e-02
g.Planctomyces                         	9.8e-03	2.6e-03	3.1e-02
g.Lewinella                            	6.7e-03	1.4e-03	5.7e-02
g.Parapedobacter                       	4.3e-03	8.1e-03	6.5e-02
g.Flavisolibacter                      	1.5e-02	5.9e-03	7.4e-02
g.Planobispora                         	1.1e-01	7.5e-02	8.5e-02
g.Clostridiisalibacter                 	1.0e-02	7.2e-03	1.1e-01
g.Flavobacterium                       	1.4e-02	2.4e-02	1.5e-01
g.Thioalkalibacter                     	3.5e-03	7.1e-05	1.6e-01
g.Azospira                             	2.1e-03	5.1e-03	2.1e-01
g.Legionella                           	5.6e-04	1.3e-03	2.1e-01
g.Niastella                            	9.4e-03	1.2e-02	2.3e-01
g.Propionivibrio                       	7.0e-02	6.3e-02	2.3e-01
g.Spartobacteria_genera_incertae_sedis 	4.8e-03	2.5e-03	2.3e-01
g.Pelagicoccus                         	4.1e-03	1.2e-03	2.7e-01
g.Thauera                              	1.9e-02	1.1e-02	4.0e-01
g.Roseateles                           	3.6e-03	2.7e-03	4.9e-01
