"tryoutApprenticeship";"Schnupperlehre"
"summerJob";"Ferienjob"
"internship";"Praktikum"
"limitedJob";"befristete Anstellung"
"fulltimeJob";"Festanstellung"
"other";"Andere (bitte angeben)"
