x,Curve1
300.0,0.176564
304.804,0.169872
307.91,0.163462
309.984,0.157692
313.09,0.151282
316.195,0.145513
319.301,0.139103
322.407,0.132692
324.481,0.126923
328.616,0.121154
331.722,0.114744
334.828,0.108333
337.933,0.102564
341.039,0.0961538
346.204,0.0910256
351.371,0.0852564
358.598,0.0801282
365.812,0.0814103
371.987,0.0865385
377.131,0.0916667
383.304,0.0974359
388.448,0.102564
393.591,0.108333
398.734,0.114103
402.846,0.119872
405.927,0.125641
407.975,0.132051
411.055,0.138462
413.105,0.144231
416.184,0.150641
419.264,0.157051
422.345,0.162821
424.393,0.169231
426.442,0.175641
428.492,0.18141
432.593,0.192308
434.642,0.198718
435.66,0.205128
438.74,0.210897
440.789,0.217308
442.838,0.223718
445.917,0.230128
447.967,0.235897
451.047,0.242308
453.095,0.248718
456.176,0.254487
459.256,0.260897
462.337,0.266667
467.48,0.272436
475.72,0.275641
483.973,0.273077
489.14,0.267308
492.244,0.261538
497.417,0.252564
499.492,0.246154
502.597,0.240385
504.672,0.233974
507.778,0.227564
509.853,0.221154
511.927,0.215385
512.971,0.208974
515.046,0.202564
517.121,0.196154
519.196,0.189744
520.241,0.183333
522.314,0.177564
524.389,0.171154
526.464,0.164744
527.509,0.158333
529.584,0.151923
531.659,0.145513
533.734,0.139103
534.777,0.133333
536.852,0.126923
538.927,0.120513
539.971,0.114103
542.046,0.107692
544.121,0.101282
546.195,0.0955128
548.27,0.0891026
550.345,0.0826923
552.42,0.0762821
554.495,0.0698718
556.569,0.0641026
558.644,0.0576923
561.75,0.0512821
563.825,0.0448718
565.899,0.0391026
570.036,0.0326923
573.14,0.0269231
577.276,0.0211538
582.443,0.0153846
587.608,0.0102564
594.833,0.00576923
604.118,0.0025641
607.214,0.00128205
617.526,0.0
622.68,0.0
632.991,0.0
641.24,0.0
651.548,0.0
659.798,0.0
670.104,0.0
679.385,0.0
687.63,0.0
697.939,0.0
703.095,0.0
712.372,0.0
721.653,0.0
730.929,0.0
740.21,0.0
749.486,0.0
759.796,0.0
768.043,0.0
778.352,0.0
785.568,0.0
795.878,0.0
801.036,0.0
809.28,0.0
819.59,0.0
828.867,0.0
838.147,0.0
846.393,0.0
856.702,0.0
864.95,0.0
875.259,0.0
881.445,0.0
891.754,0.0
900.004,0.0
905.156,0.0
915.465,0.0
922.683,0.0
930.929,0.0
939.179,0.0
946.392,0.0
955.671,0.0
960.829,0.0
970.104,0.0
979.385,0.0
988.661,0.0
998.97,0.0
1003.1,0.0
1011.34,0.0
