x,Curve1
299.697,1.78896
308.987,1.79538
318.278,1.79755
327.572,1.79331
336.87,1.77841
344.102,1.76351
351.339,1.74007
358.571,1.72517
363.743,1.70173
372.007,1.68896
383.37,1.67407
392.665,1.66557
402.994,1.65494
412.289,1.64644
421.581,1.64647
425.711,1.64648
428.808,1.64649
440.159,1.66358
448.414,1.67427
456.664,1.69988
462.853,1.71483
468.006,1.7383
475.227,1.75324
479.347,1.77885
486.568,1.79593
490.69,1.81726
494.814,1.8322
503.064,1.85568
510.286,1.87063
519.569,1.89411
528.857,1.90267
538.148,1.90696
547.442,1.9006
557.772,1.88783
566.036,1.87506
576.369,1.85377
584.633,1.841
594.965,1.82184
603.229,1.81121
614.591,1.79845
623.885,1.79208
633.18,1.78358
642.475,1.77721
652.803,1.76658
663.129,1.76235
671.392,1.75597
681.718,1.75174
691.011,1.74751
701.336,1.74754
709.596,1.74543
719.921,1.74546
728.183,1.73909
737.477,1.73272
747.802,1.73062
758.128,1.72852
767.42,1.72855
777.746,1.72431
786.006,1.72221
796.331,1.72224
803.558,1.72226
813.883,1.72016
823.176,1.71806
833.5,1.72022
842.792,1.71812
853.118,1.71601
861.378,1.71391
871.703,1.71394
879.963,1.71183
890.287,1.714
899.58,1.71189
909.904,1.71192
919.196,1.71195
929.521,1.70985
937.782,1.70774
948.106,1.70777
956.367,1.70567
966.691,1.7057
975.982,1.70786
986.308,1.70576
996.632,1.70579
1001.79,1.70581
