x,Curve1
355.951,0.00490272
373.441,0.00544747
389.179,0.00653696
406.669,0.00708171
424.156,0.00817121
439.893,0.0092607
457.381,0.0103502
473.118,0.0114397
490.605,0.0125292
506.343,0.0136187
523.827,0.0152529
541.311,0.0168872
557.049,0.0179767
574.533,0.0196109
590.268,0.0212451
607.753,0.0228794
623.488,0.0245136
639.222,0.0261479
656.707,0.0277821
672.439,0.0299611
689.923,0.0315953
705.655,0.0337743
721.39,0.0354086
737.122,0.0375875
754.603,0.0397665
777.327,0.043035
793.059,0.045214
808.791,0.047393
824.523,0.049572
838.506,0.051751
854.238,0.05393
869.97,0.0561089
883.956,0.0577432
