x,Curve1
350.661,0.0130739
362.903,0.0136187
375.142,0.0147082
387.381,0.0157977
401.37,0.0168872
413.609,0.0179767
424.099,0.0190661
438.085,0.0207004
450.321,0.0223346
462.557,0.0239689
474.794,0.0256031
487.03,0.0272374
501.013,0.0294163
511.5,0.0310506
525.48,0.0337743
537.717,0.0354086
549.95,0.0375875
563.93,0.0403113
574.417,0.0419455
588.397,0.0446693
598.881,0.0468482
612.859,0.0501167
625.089,0.0528405
639.069,0.0555642
649.551,0.0582879
656.539,0.0599222
667.024,0.0621012
675.759,0.0642802
684.494,0.0664591
694.975,0.0691829
701.961,0.0713619
710.699,0.0729961
717.684,0.0751751
726.419,0.0773541
735.152,0.0800778
743.887,0.0822568
752.619,0.0849805
763.1,0.0877043
771.835,0.0898833
784.063,0.0931518
789.3,0.0953307
798.035,0.0975097
805.02,0.0996887
815.502,0.102412
822.488,0.104591
829.473,0.10677
836.459,0.108949
845.191,0.111673
859.16,0.116576
873.128,0.121479
887.097,0.126381
899.319,0.130739
