x,Curve1
300.067,2.23671
305.269,2.20279
309.434,2.17225
312.568,2.14171
315.706,2.10777
318.84,2.07722
320.947,2.04327
324.081,2.01273
328.26,1.97201
330.331,1.96523
334.449,1.97206
336.477,1.99926
339.527,2.03326
341.551,2.06385
342.539,2.09783
343.531,2.12841
345.546,2.1658
346.546,2.18959
347.534,2.22357
348.526,2.25415
349.518,2.28473
350.51,2.31532
352.525,2.3527
353.522,2.37989
356.572,2.41389
358.6,2.44108
364.746,2.47511
368.872,2.47515
371.979,2.46499
378.212,2.43108
381.346,2.40053
385.516,2.3666
388.645,2.33945
394.878,2.30554
399.039,2.27841
405.272,2.24449
412.532,2.21399
422.878,2.19031
431.143,2.18019
441.441,2.19388
449.675,2.20755
460.987,2.23483
469.217,2.25189
479.51,2.26897
486.722,2.27584
499.078,2.29294
506.29,2.2998
519.699,2.29993
525.901,2.28979
537.283,2.26273
545.566,2.23902
554.889,2.20854
565.226,2.19165
575.563,2.17476
582.792,2.16804
594.156,2.15456
601.385,2.14783
613.772,2.14115
622.024,2.14123
633.375,2.13794
639.569,2.1346
650.928,2.12452
659.193,2.11441
671.589,2.10094
677.782,2.0976
689.138,2.09091
697.394,2.08759
707.714,2.08429
714.943,2.07756
727.334,2.06749
733.528,2.06415
744.883,2.05747
753.139,2.05415
764.49,2.05086
772.747,2.04754
784.098,2.04425
791.323,2.04092
801.642,2.03762
810.93,2.03431
822.277,2.03442
830.537,2.0277
840.857,2.0244
849.109,2.02448
859.428,2.02118
867.68,2.02126
880.058,2.02137
886.252,2.01803
899.666,2.01476
906.891,2.01144
917.201,2.01493
926.485,2.01502
935.773,2.01171
944.029,2.00839
956.407,2.00851
962.601,2.00517
974.983,2.00189
982.204,2.00196
993.55,2.00206
