x,Curve1
551.332,0.0581443
555.293,0.0556701
559.907,0.0535052
565.173,0.0516495
570.439,0.0497938
575.706,0.0479381
581.624,0.0463918
587.536,0.0454639
593.454,0.0439175
599.359,0.0436082
605.917,0.0436082
612.471,0.0439175
618.389,0.0423711
622.351,0.0398969
625.657,0.0374227
628.31,0.0346392
631.619,0.0318557
634.925,0.0293814
638.234,0.0265979
642.195,0.0241237
646.813,0.0216495
650.774,0.0191753
654.736,0.016701
659.349,0.0145361
664.612,0.0129897
670.524,0.0120619
677.095,0.0108247
682.361,0.00896907
686.971,0.0071134
692.238,0.00525773
697.504,0.00340206
703.419,0.00216495
709.986,0.00123711
717.21,0.0
723.111,0.0
729.669,0.0
735.574,0.0
742.128,0.0
748.685,0.0
